5242,Interior designers and interior decorators
5243,Theatre fashion exhibit and other creative designers
5244,Artisans and craftspersons
5245,Patternmakers - textile leather and fur products
5251,Athletes
5252,Coaches
5253,Sports officials and referees
5254,Program leaders and instructors in recreation sport and fitness
6211,Retail sales supervisors
6221,Technical sales specialists - wholesale trade
6222,Retail and wholesale buyers
6231,Insurance agents and brokers
6232,Real estate agents and salespersons
6235,Financial sales representatives
6311,Food service supervisors
6312,Executive housekeepers
6313,Accommodation travel tourism and related services supervisors
6314,Customer and information services supervisors
6315,Cleaning supervisors
6316,Other services supervisors
6321,Chefs
6322,Cooks
6331,Butchers meat cutters and fishmongers - retail and wholesale
6332,Bakers
6341,Hairstylists and barbers
6342,Tailors dressmakers furriers and milliners
6343,Shoe repairers and shoemakers
6344,Jewellers jewellery and watch repairers and related occupations
6345,Upholsterers
6346,Funeral directors and embalmers
6411,Sales and account representatives - wholesale trade (non-technical)
6421,Retail salespersons
6511,Mątres d'h̫tel and hosts/hostesses
6512,Bartenders
6513,Food and beverage servers
6521,Travel counsellors
6522,Pursers and flight attendants
6523,Airline ticket and service agents
6524,Ground and water transport ticket agents cargo service representatives and related clerks
6525,Hotel front desk clerks
6531,Tour and travel guides
6532,Outdoor sport and recreational guides
6533,Casino occupations
6541,Security guards and related security service occupations
6551,Customer services representatives - financial institutions
6552,Other customer and information services representatives
6561,Image social and other personal consultants
6562,Estheticians electrologists and related occupations
6563,Pet groomers and animal care workers
6564,Other personal service occupations
6611,Cashiers
6621,Service station attendants
6622,Store shelf stockers clerks and order fillers
6623,Other sales related occupations
6711,Food counter attendants kitchen helpers and related support occupations
6721,Support occupations in accommodation travel and facilities set-up services
6722,Operators and attendants in amusement recreation and sport
6731,Light duty cleaners
6732,Specialized cleaners
6733,Janitors caretakers and building superintendents
6741,Dry cleaning laundry and related occupations
6742,Other service support occupations n.e.c.
7201,Contractors and supervisors machining metal forming shaping and erecting trades and related occupations
7202,Contractors and supervisors electrical trades and telecommunications occupations
7203,Contractors and supervisors pipefitting trades
7204,Contractors and supervisors carpentry trades
7205,Contractors and supervisors other construction trades installers repairers and servicers
7231,Machinists and machining and tooling inspectors
7232,Tool and die makers
7233,Sheet metal workers
7234,Boilermakers
7235,Structural metal and platework fabricators and fitters
7236,Ironworkers
7237,Welders and related machine operators
7241,Electricians (except industrial and power system)
7242,Industrial electricians
7243,Power system electricians
7244,Electrical power line and cable workers
7245,Telecommunications line and cable workers
7246,Telecommunications installation and repair workers
7247,Cable television service and maintenance technicians
7251,Plumbers
7252,Steamfitters pipefitters and sprinkler system installers
7253,Gas fitters
7271,Carpenters
7272,Cabinetmakers
7281,Bricklayers
7282,Concrete finishers
7283,Tilesetters
7284,Plasterers drywall installers and finishers and lathers
7291,Roofers and shinglers
7292,Glaziers
7293,Insulators
7294,Painters and decorators (except interior decorators)
7295,Floor covering installers
7301,Contractors and supervisors mechanic trades
7302,Contractors and supervisors heavy equipment operator crews
7303,Supervisors printing and related occupations
7304,Supervisors railway transport operations
7305,Supervisors motor transport and other ground transit operators
7311,Construction millwrights and industrial mechanics
7312,Heavy-duty equipment mechanics
7313,Refrigeration and air conditioning mechanics
7314,Railway carmen/women
7315,Aircraft mechanics and aircraft inspectors
7316,Machine fitters
7318,Elevator constructors and mechanics
7321,Automotive service technicians truck and bus mechanics and mechanical repairers
7322,Motor vehicle body repairers
7331,Oil and solid fuel heating mechanics
7332,Appliance servicers and repairers
7333,Electrical mechanics
7334,Motorcycle all-terrain vehicle and other related mechanics
7335,Other small engine and small equipment repairers
7361,Railway and yard locomotive engineers
7362,Railway conductors and brakemen/women
7371,Crane operators
7372,Drillers and blasters - surface mining quarrying and construction
7373,Water well drillers
7381,Printing press operators
7384,Other trades and related occupations n.e.c.
7441,Residential and commercial installers and servicers
7442,Waterworks and gas maintenance workers
7444,Pest controllers and fumigators
7445,Other repairers and servicers
7451,Longshore workers
