NOC #,Major Occupation Group,Occupation ,Proportion of tasks that can be automated (McKinsey & Company)," Average Income, 2011 ","Employed Canadian Labour Force, 2011",Probability of automation in the next 10-20 years (Frey and Osborne),Level of Education
4152,"Professional occupations in law and social, community and government services",Social workers,13.0%," $ 50,801 ","55,415",1.2%,A
4212,"Paraprofessional occupations in legal, social, community and education services",Social and community service workers,13.0%," $ 33,659 ","128,665",1.2%,B
2132,Professional occupations in natural and applied sciences,Mechanical engineers,17.0%," $ 80,536 ","47,095",1.1%,A
0421,Specialized middle management occupations,Administrators- post-secondary education and vocational training,16.0%," $ 75,416 ","15,020",1.0%,0
2274,Technical occupations related to natural and applied sciences,"Engineer officers, water transport",19.0%," $ 72,374 ","2,605",1.0%,B
0422,Specialized middle management occupations,School principals and administrators of elementary and secondary education,15.5%," $ 89,689 ","32,270",1.0%,0
4216,"Paraprofessional occupations in legal, social, community and education services",Other instructors,13.0%," $ 18,266 ","25,830",1.0%,B
3012,Professional occupations in nursing,Registered nurses and registered psychiatric nurses,29.0%," $ 57,451 ","291,380",0.9%,A
4033,Professional occupations in education services,Educational counsellors,14.0%," $ 49,331 ","19,265",0.9%,A
4156,"Professional occupations in law and social, community and government services",Employment counsellors,14.0%," $ 38,701 ","15,220",0.9%,A
2122,Professional occupations in natural and applied sciences,Forestry professionals,11.0%," $ 61,597 ","4,980",0.8%,A
8422,"Workers in natural resources, agriculture and related production",Silviculture and forestry workers,11.0%," $ 21,464 ","5,810",0.8%,C
4031,Professional occupations in education services,Secondary school teachers,15.0%," $ 58,413 ","173,975",0.8%,A
4214,"Paraprofessional occupations in legal, social, community and education services",Early childhood educators and assistants,7.0%," $ 20,233 ","187,750",0.7%,B
0311,Specialized middle management occupations,Managers in health care,36.0%," $ 78,930 ","26,690",0.7%,0
3011,Professional occupations in nursing,Nursing coordinators and supervisors,36.0%," $ 60,604 ","10,585",0.7%,A
4151,"Professional occupations in law and social, community and government services",Psychologists,10.3%," $ 55,426 ","21,535",0.7%,A
0423,Specialized middle management occupations,"Managers in social, community and correctional services",5.0%," $ 59,447 ","29,260",0.7%,0
6532,Service representatives and other customer and personal services occupations,Outdoor sport and recreational guides,31.0%," $ 20,302 ","2,400",0.6%,C
0112,Specialized middle management occupations,Human resources managers,14.0%," $ 82,615 ","50,825",0.6%,0
5245,"Technical occupations in art, culture, recreation and sport","Patternmakers- textile, leather and fur products",61.0%," $ 34,666 ","1,020",0.5%,B
3141,Professional occupations in health (except nursing),Audiologists and speech-language pathologists,41.5%," $ 58,065 ","9,015",0.5%,A
3113,Professional occupations in health (except nursing),Dentists,23.0%," $ 124,790 ","18,780",0.4%,A
3221,Technical occupations in health,Denturists,23.0%," $ 54,108 ","2,375",0.4%,B
4032,Professional occupations in education services,Elementary school and kindergarten teachers,14.0%," $ 53,198 ","271,200",0.4%,A
3111,Professional occupations in health (except nursing),Specialist physicians,23.0%," $ 175,088 ","36,550",0.4%,A
3112,Professional occupations in health (except nursing),General practitioners and family physicians,31.0%," $ 136,456 ","44,970",0.4%,A
0632,Middle management occupations in retail and wholesale trade and customer services,Accommodation service managers,40.0%," $ 41,544 ","20,775",0.4%,0
3132,Professional occupations in health (except nursing),Dietitians and nutritionists,44.0%," $ 46,510 ","9,955",0.4%,A
0432,Specialized middle management occupations,Fire chiefs and senior firefighting officer,46.0%," $ 92,143 ","2,310",0.4%,0
3143,Professional occupations in health (except nursing),Occupational therapists,25.0%," $ 52,750 ","13,945",0.4%,A
