NOC #,Major Occupation Group,Occupation ,Proportion of tasks that can be automated (McKinsey & Company)," Average Income, 2011 ","Employed Canadian Labour Force, 2011",Probability of automation in the next 10-20 years (Frey and Osborne),Level of Education
7522,Maintenance and equipment operation trades,Public works maintenance equipment operators and related workers,17.5%," $ 39,441 ","18,685",90.0%,C
9413,Transport and heavy equipment operation and related maintenance occupations,Glass forming and finishing machine operators and glass cutters,89.0%," $ 31,345 ","3,380",90.0%,C
9414,Processing and manufacturing machine operators and related production workers,"Concrete, clay and stone forming operators",89.0%," $ 34,562 ","5,865",90.0%,C
9522,Processing and manufacturing machine operators and related production workers,"Motor vehicle assemblers, inspectors and testers",67.5%," $ 45,769 ","59,700",90.0%,C
9526,Assemblers in manufacturing,Mechanical assemblers and inspectors,67.5%," $ 36,616 ","7,650",90.0%,C
9531,Assemblers in manufacturing,Boat assemblers and inspectors,67.5%," $ 31,043 ","2,270",90.0%,C
9241,Assemblers in manufacturing,Power engineers and power systems operators,83.5%," $ 82,084 ","29,565",90.0%,B
7621,"Processing, manufacturing and utilities supervisors and central control operators",Public works and maintenance labourers,30.8%," $ 32,761 ","30,740",89.8%,D
2275,"Trades helpers, construction labourers and related occupations",Railway traffic controllers and marine traffic regulators,43.0%," $ 71,894 ","1,295",89.5%,B
7531,Technical occupations related to natural and applied sciences,Railway yard and track maintenance workers,47.0%," $ 53,414 ","5,255",89.5%,C
9418,Transport and heavy equipment operation and related maintenance occupations,Other metal products machine operators,88.6%," $ 37,407 ","6,555",89.4%,C
7521,Processing and manufacturing machine operators and related production workers,Heavy equipment operators (except crane),79.0%," $ 50,592 ","78,510",89.2%,C
6332,Transport and heavy equipment operation and related maintenance occupations,Bakers,98.0%," $ 21,740 ","41,650",89.0%,B
7513,Service supervisors and specialized service occupations,Taxi and limousine drivers and chauffers,58.0%," $ 19,037 ","48,545",89.0%,C
9446,Transport and heavy equipment operation and related maintenance occupations,Industrial sewing machine operators,100.0%," $ 19,185 ","19,760",89.0%,C
9521,Processing and manufacturing machine operators and related production workers,Aircraft assemblers and aircraft assembly inspectors,62.5%," $ 55,505 ","6,850",88.5%,C
9411,Assemblers in manufacturing,"Machine operators, mineral and metal processing",91.3%," $ 57,047 ","8,050",88.3%,C
1523,Processing and manufacturing machine operators and related production workers,Production logistics coordinators,49.0%," $ 51,236 ","19,245",88.0%,C
7611,"Distribution, tracking and scheduling co-ordination occupations",Construction trades helpers and labourers,35.0%," $ 28,571 ","134,150",88.0%,D
7612,"Trades helpers, construction labourers and related occupations",Other trades helpers and labourers,35.0%," $ 27,108 ","9,585",88.0%,D
7622,"Trades helpers, construction labourers and related occupations",Railway and motor transport labourers,35.0%," $ 28,676 ","4,005",88.0%,D
